runtimes/time_paleomix_4.log:34:sys	10m55.470s
runtimes/time_paleomix_5.log:32:real	313m8.947s
runtimes/time_paleomix_5.log:33:user	1509m52.802s
runtimes/time_paleomix_5.log:34:sys	11m5.391s
runtimes/time_paleomix_6.log:32:real	318m13.369s
runtimes/time_paleomix_6.log:33:user	1524m38.809s
runtimes/time_paleomix_6.log:34:sys	12m29.132s
runtimes/time_paleomix_7.log:32:real	312m8.029s
runtimes/time_paleomix_7.log:33:user	1504m24.847s
runtimes/time_paleomix_7.log:34:sys	10m42.995s
runtimes/time_paleomix_8.log:32:real	312m11.229s
runtimes/time_paleomix_8.log:33:user	1501m45.877s
runtimes/time_paleomix_8.log:34:sys	11m42.260s
runtimes/time_paleomix_9.log:32:real	313m58.311s
runtimes/time_paleomix_9.log:33:user	1493m51.836s
runtimes/time_paleomix_9.log:34:sys	12m11.905s
runtimes/time_paleomix_optimised_10.log:31:real	121m36.409s
runtimes/time_paleomix_optimised_10.log:32:user	1768m25.631s
runtimes/time_paleomix_optimised_10.log:33:sys	12m23.062s
runtimes/time_paleomix_optimised_1.log:32:real	120m49.083s
runtimes/time_paleomix_optimised_1.log:33:user	1785m34.729s
runtimes/time_paleomix_optimised_1.log:34:sys	11m56.139s
runtimes/time_paleomix_optimised_2.log:32:real	132m48.311s
runtimes/time_paleomix_optimised_2.log:33:user	1791m42.691s
runtimes/time_paleomix_optimised_2.log:34:sys	11m52.522s
runtimes/time_paleomix_optimised_3.log:32:real	120m28.393s
runtimes/time_paleomix_optimised_3.log:33:user	1762m51.364s
runtimes/time_paleomix_optimised_3.log:34:sys	11m52.818s
runtimes/time_paleomix_optimised_4.log:32:real	125m43.467s
runtimes/time_paleomix_optimised_4.log:33:user	1841m27.137s
runtimes/time_paleomix_optimised_4.log:34:sys	12m30.675s
runtimes/time_paleomix_optimised_5.log:32:real	129m59.059s
runtimes/time_paleomix_optimised_5.log:33:user	1848m1.724s
runtimes/time_paleomix_optimised_5.log:34:sys	13m17.581s
runtimes/time_paleomix_optimised_6.log:32:real	130m22.747s
runtimes/time_paleomix_optimised_6.log:33:user	1851m18.755s
runtimes/time_paleomix_optimised_6.log:34:sys	13m24.837s
runtimes/time_paleomix_optimised_7.log:32:real	144m59.070s
runtimes/time_paleomix_optimised_7.log:33:user	1837m55.273s
runtimes/time_paleomix_optimised_7.log:34:sys	12m39.465s
runtimes/time_paleomix_optimised_8.log:32:real	144m22.585s
runtimes/time_paleomix_optimised_8.log:33:user	1858m3.344s
runtimes/time_paleomix_optimised_8.log:34:sys	12m59.349s
runtimes/time_paleomix_optimised_9.log:32:real	130m30.063s
runtimes/time_paleomix_optimised_9.log:33:user	1826m40.342s
runtimes/time_paleomix_optimised_9.log:34:sys	12m52.857s
